,active_from,active_to,birth_year,birth_date,Height_in_feet,college,height,player_name,position,weight,NBA__3ptapg,NBA__3ptpct,NBA__3ptpg,NBA_efgpct,NBA_fg%,NBA_fg_per_game,NBA_fga_per_game,NBA_ft%,NBA_ft_per_g,NBA_fta_p_g,NBA_g_played,NBA_ppg,NCAA__3ptapg,NCAA__3ptpct,NCAA__3ptpg,NCAA_fgapg,NCAA_fgpct,NCAA_fgpg,NCAA_ft,NCAA_ftapg,NCAA_ftpg,NCAA_games,NCAA_ppg,Years_played,Draft_age,WinShare/48,WingSpan,Standing_vert,Max_vertical,Agility,Sprint,Draft_Pick
735,2012,2017,1988,10/13/1988,6.2,Cleveland State University,6.2.2020,Norris Cole,G,175,1.8,0.324,0.6,0.449,0.407,2.8,6.9,0.743,0.8,1.1,360,7,3.1,0.321,1,11.1,0.435,4.8,0.826,4.2,3.5,140,14.1,5,24,0,74.25,95.5,134,10.07,3.22,28
2301,2014,2015,1990,5/16/1990,7.1,,7.1.2020,Ognjen Kuzmic,C,251,0,,0,0.52,0.52,0.4,0.7,0.6,0.2,0.4,37,0.9,,,,,,,,,,,,1,24,-0.025,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2049,2013,2016,1989,3/11/1989,6.5,"Loyola Marymount University, University of California, Santa Barbara",6.5.2020,Orlando Johnson,G,220,1.5,0.311,0.5,0.43,0.358,1.1,3.2,0.727,0.5,0.6,103,3.2,4.6,0.391,1.8,13,0.457,6,0.72,5.7,4.1,124,17.8,3,24,0.115,83.25,99,138.5,10.98,3.25,36
3255,2014,2018,1993,6/3/1993,6.8,Georgetown University,6.8.2020,Otto Porter,F,198,3.1,0.403,1.2,0.56,0.487,4.1,8.4,0.789,1.1,1.4,342,10.5,2.4,0.355,0.9,9.2,0.498,4.6,0.751,3.8,2.8,64,12.8,4,21,-0.006,85.5,105.5,141.5,11.25,3.4,3
1582,2015,2016,1992,12/24/1992,6.6,University of North Carolina,6.6.2020,P.J. Hairston,G-F,230,3.6,0.295,1.1,0.431,0.343,2.1,6.1,0.81,0.7,0.9,111,6,5.1,0.349,1.8,8,0.388,3.1,0.8,2.5,2,71,10,1,23,0.022,81,101,138,11.12,3.32,26
3288,2013,2016,1977,5/17/1977,6.3,,6.3.2020,Pablo Prigioni,G,185,2,0.379,0.8,0.554,0.425,1.2,2.9,0.872,0.3,0.3,270,3.5,,,,,,,,,,,,3,36,0.123,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
771,2016,2018,1993,1/6/1993,6.5,University of Notre Dame,6.5.2020,Pat Connaughton,G,206,1.7,0.363,0.6,0.513,0.419,1.4,3.3,0.845,0.3,0.4,153,3.7,5,0.386,1.9,8.2,0.45,3.7,0.777,1.5,1.2,139,10.5,2,23,0.085,80.75,96,140,10.74,3.2,41
308,2013,2018,1988,7/12/1988,6.1,University of Arkansas,6.1.2020,Patrick Beverley,G,185,4.4,0.376,1.7,0.515,0.413,3.4,8.1,0.767,1,1.3,302,9.4,5.2,0.382,2,9.7,0.42,4.1,0.73,3.9,2.8,70,13,5,25,0.148,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
706,2015,2015,1988,6/3/1988,6.5,University of California,6.5.2020,Patrick Christopher,G-F,209,1,0,0,0.25,0.25,0.8,3,,0,0,4,1.5,3.6,0.342,1.2,10.6,0.45,4.8,0.816,2.4,1.9,134,12.7,0,27,-0.15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
110,2014,2015,1982,7/29/1982,6.11,,6.11.2020,Pero Antic,C-F,260,3,0.314,1,0.483,0.392,2,5.2,0.73,1.2,1.7,113,6.3,,,,,,,,,,,,1,32,0.075,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2107,2013,2015,1991,9/24/1991,6.11,Baylor University,6.11.2020,Perry Jones,F,235,0.9,0.293,0.3,0.459,0.42,1.4,3.2,0.66,0.4,0.7,143,3.4,0.7,0.279,0.2,10.5,0.522,5.5,0.678,3.8,2.6,63,13.7,2,22,-0.003,85.75,107,145.5,11.31,3.19,28
3730,2014,2014,1990,10/24/1990,6.1,University of Louisville,6.1.2000,Peyton Siva,G,185,1,0.28,0.3,0.377,0.316,0.8,2.4,0.733,0.5,0.6,24,2.3,2.4,0.291,0.7,6.9,0.417,2.9,0.737,2.8,2,144,8.4,0,24,-0.032,75,93,134.5,10.59,3.16,56
3276,2014,2016,1991,2/17/1991,5.11,University of Missouri,5.11.2020,Phil Pressey,G,175,1.3,0.254,0.3,0.388,0.341,1.2,3.4,0.63,0.5,0.8,148,3.2,3.3,0.347,1.2,8.2,0.395,3.2,0.757,2.7,2.1,99,9.7,2,23,0.005,74.25,92,130.5,10.86,3.13,0
14,2013,2018,1990,10/6/1990,6.7,Baylor University,6.7.2020,Quincy Acy,F,240,1.5,0.355,0.5,0.516,0.446,1.8,4,0.761,0.9,1.2,325,5,0.1,0.429,0,6,0.602,3.6,0.708,3.6,2.5,139,9.8,5,23,0.157,86.75,106.5,143.5,10.48,3.28,37
2777,2013,2015,1992,11/18/1992,6.9,Baylor University,6.9.2020,Quincy Miller,F,210,1.6,0.292,0.5,0.404,0.35,1.6,4.4,0.706,0.7,1,69,4.3,1.9,0.348,0.6,8.4,0.447,3.7,0.816,3.1,2.5,37,10.6,2,21,-0.051,85.25,105,141,11.05,3.48,38
1883,2016,2018,1993,10/24/1993,6.5,Georgia State University,6.5.2020,R.J. Hunter,G,185,1.6,0.284,0.4,0.442,0.35,0.8,2.4,0.857,0.1,0.2,43,2.3,7.2,0.354,2.6,13.3,0.423,5.6,0.853,5.3,4.5,99,18.4,2,23,-0.207,82.5,104,137.5,10.97,3.26,28
704,2016,2017,1991,12/1/1991,6.9,Syracuse University,6.9.2020,Rakeem Christmas,F,250,0,,0,0.467,0.467,0.7,1.5,0.724,0.7,1,30,2.1,0,0,0,5.1,0.56,2.9,0.681,2.4,1.6,142,7.4,1,25,#N/A,89.25,110.5,0,11.57,3.47,36
4162,2016,2018,1996,8/16/1996,6.6,"University of Nevada, Las Vegas",6.6.2020,Rashad Vaughn,G,202,1.9,0.313,0.6,0.424,0.337,1.2,3.4,0.692,0.1,0.2,139,3,6.1,0.383,2.3,14.3,0.439,6.3,0.694,4.3,3,23,17.8,2,20,0.024,79,101,135,11.41,3.21,17
2959,2016,2018,1992,5/19/1992,6.1,,6.1.2020,Raul Neto,G,179,1.5,0.389,0.6,0.51,0.439,1.8,4.1,0.768,0.5,0.7,160,4.7,,,,,,,,,,,,2,24,0.052,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2612,2014,2016,1991,6/12/1991,6.3,University of Detroit Mercy,6.3.2020,Ray McCallum,G,190,1.4,0.335,0.5,0.447,0.408,2.4,5.9,0.711,0.7,0.9,154,6,3.3,0.29,1,11.5,0.465,5.4,0.723,5.8,4.2,102,15.9,2,23,0.02,75.25,96.5,136.5,10.82,3.25,36
546,2014,2018,1991,3/16/1991,6.7,University of North Carolina,6.7.2020,Reggie Bullock,G-F,205,2.5,0.403,1,0.558,0.448,2.1,4.6,0.798,0.3,0.4,209,5.5,4.9,0.387,1.9,8.2,0.439,3.6,0.72,1.2,0.9,100,9.9,4,23,0.019,80.75,102,138.5,11.33,3.31,25
1943,2012,2018,1990,4/16/1990,6.3,Boston College,6.3.2020,Reggie Jackson,G,208,3,0.321,1,0.474,0.431,4.7,10.9,0.857,2.1,2.4,446,12.4,3.5,0.351,1.2,9.9,0.465,4.6,0.753,3,2.3,99,12.7,6,22,0.011,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1815,2016,2018,1993,10/15/1993,6.1,Bowling Green State University,6.10.2020,Richaun Holmes,F-C,245,1,0.257,0.3,0.566,0.544,3,5.6,0.689,1,1.5,154,7.3,0.9,0.353,0.3,7.7,0.554,4.2,0.697,3.8,2.7,95,11.5,2,23,0.1,85.5,108,144,11.37,3.32,37
2365,2014,2015,1992,9/10/1992,6.7,,6.7.2020,Ricky Ledo,G,195,1.3,0.371,0.5,0.394,0.336,1.4,4,0.769,0.7,0.9,28,3.9,,,,,,,,,,,,1,22,0.024,79.25,102.5,136,10.72,3.32,43
3519,2012,2018,1990,10/21/1990,6.4,,6.4.2020,Ricky Rubio,G,194,2.4,0.325,0.8,0.428,0.384,3.4,9,0.835,3.2,3.8,428,10.8,,,,,,,,,,,,6,22,0.07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1871,2014,2015,1989,3/8/1989,6.8,Purdue University,6.8.2020,Robbie Hummel,F,215,1.4,0.343,0.5,0.487,0.418,1.5,3.6,0.867,0.4,0.5,98,3.9,4.4,0.389,1.7,10.4,0.443,4.6,0.841,3.7,3.1,127,14,1,25,0.084,80.5,102,132,11.56,3.41,58
816,2014,2018,1990,12/14/1990,6.9,Tennessee State University,6.9.2020,Robert Covington,F,215,6.5,0.359,2.3,0.511,0.399,4.2,10.5,0.821,2,2.4,289,12.7,3.7,0.422,1.5,11.1,0.476,5.3,0.802,3.4,2.7,118,14.8,4,24,0.122,85.75,106,142,11.69,3.34,0
3547,2013,2016,1989,6/6/1989,7.1,Gonzaga University,7.1.2000,Robert Sacre,C,270,0,0,0,0.436,0.436,1.7,3.9,0.671,0.8,1.2,189,4.2,0,0.25,0,6,0.504,3,0.735,4.5,3.3,136,9.3,3,24,-0.024,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1825,2015,2018,1992,10/20/1992,6.8,"Mississippi State University, Duke University",6.8.2020,Rodney Hood,G-F,206,5.1,0.369,1.9,0.503,0.419,4.7,11.1,0.828,1.8,2.1,248,13,4.4,0.396,1.8,10.4,0.455,4.7,0.773,2.6,2,67,13.3,3,23,0.098,80.5,103,139,11.21,3.38,23
1813,2016,2018,1995,1/3/1995,6.7,University of Arizona,6.7.2020,Rondae Hollis-Jefferson,F,220,0.8,0.239,0.2,0.469,0.458,3.7,8.1,0.767,2.8,3.6,173,10.3,0.5,0.205,0.1,6.9,0.496,3.4,0.697,4.7,3.3,76,10.2,2,21,0.066,86,104,142,10.51,3.12,23
4337,2014,2014,1991,4/10/1991,6.8,Iowa State University,6.8.2020,Royce White,F,270,0,,0,0,0,0,0.3,,0,0,3,0,0.4,0.333,0.1,9.6,0.534,5.1,0.498,6,3,34,13.4,0,23,-0.121,84,104.5,0,0,0,16
1441,2014,2018,1992,6/26/1992,7.1,,7.1.2020,Rudy Gobert,C,245,0,0,0,0.614,0.614,3.6,5.9,0.628,2.7,4.3,323,10,,,,,,,,,,,,4,22,0.045,92.5,115,144,12.85,3.57,27
3798,2015,2016,1991,4/19/1991,6.1,University of Louisville,6.1.2000,Russ Smith,G,165,0.6,0.188,0.1,0.351,0.319,0.6,1.7,0.769,0.7,1,27,2,3.9,0.345,1.4,11.3,0.413,4.7,0.76,4.8,3.7,133,14.3,1,24,0.214,75.5,95,129,11.57,3.27,47
2171,2014,2017,1991,4/9/1991,6.11,Duke University,6.11.2020,Ryan Kelly,F,230,2,0.316,0.6,0.438,0.378,2,5.3,0.797,1.4,1.8,163,6,2.1,0.379,0.8,5.4,0.46,2.5,0.805,2.2,1.7,126,7.5,3,23,0.081,83.5,110,0,0,0,48
3375,2012,2012,1986,10/30/1986,6.8,Florida State University,6.8.2020,Ryan Reid,F,232,0,,0,0.8,0.8,0.8,1,,0,0,5,1.6,,,,,,,,,,,,0,26,0.142,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2726,2016,2018,1986,6/15/1986,7.1,,7.1.2020,Salah Mejri,C,245,0,0.143,0,0.641,0.639,1.3,2.1,0.584,0.6,1,168,3.3,,,,,,,,,,,,2,30,0.107,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
964,2016,2018,1994,5/6/1994,6.9,University of Wisconsin,6.9.2020,Sam Dekker,F,230,1.6,0.283,0.5,0.529,0.477,2.1,4.5,0.612,0.5,0.8,151,5.2,3.6,0.348,1.3,9,0.493,4.4,0.695,2.8,2,113,12.1,2,22,0.095,83.5,106,140.5,10.71,3.28,18
2157,2016,2016,1985,5/8/1985,6.11,University of Kansas,6.11.2020,Sasha Kaun,C,260,0,,0,0.529,0.529,0.4,0.7,0.455,0.2,0.4,25,0.9,0,,0,4.3,0.568,2.5,0.512,2.4,1.2,135,6.1,0,31,0.135,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2493,2013,2013,1990,6/8/1990,6.1,Iona College,6.1.2020,Scott Machado,G,205,0.2,0,0,0.5,0.5,0.5,1,1,0.3,0.3,6,1.3,2.7,0.342,0.9,9.3,0.429,4,0.74,4.4,3.3,132,12.2,0,23,-0.23,76,94.5,127,11.26,3.3,0
1832,2014,2018,1989,8/8/1989,6.7,University of Tennessee,6.7.2020,Scotty Hopson,G,204,0.7,0,0,0,0,0,1.7,0.5,0.7,1.3,3,0.7,4.1,0.354,1.5,10.4,0.444,4.6,0.671,3,2,103,12.7,4,25,-0.412,82.5,103.5,139.5,10.47,3.18,0
2203,2015,2018,1990,1/6/1990,6.4,University of Cincinnati,6.4.2020,Sean Kilpatrick,G,210,3.7,0.333,1.2,0.485,0.412,3.4,8.4,0.865,2.1,2.4,155,10.2,6.4,0.347,2.2,12.1,0.419,5.1,0.78,3.8,3,140,15.3,3,25,0.033,79,99,0,0,0,0
2150,2014,2016,1993,10/26/1993,6.7,,6.7.2020,Sergey Karasev,G-F,208,1.2,0.282,0.3,0.459,0.395,1,2.6,0.842,0.7,0.8,95,3,,,,,,,,,,,,2,21,-0.041,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
868,2014,2017,1990,8/23/1990,6.2,"Liberty University, Duke University",6.2.2020,Seth Curry,G,185,3.7,0.432,1.6,0.573,0.473,3.7,7.9,0.844,1.1,1.3,118,10.2,5.9,0.394,2.3,11.2,0.431,4.8,0.827,3.5,2.9,141,14.9,3,24,0.187,76,97.5,0,0,0,0
2878,2014,2018,1992,11/13/1992,6.6,"University of California, Los Angeles",6.6.2020,Shabazz Muhammad,F-G,223,1.4,0.318,0.4,0.504,0.473,3.4,7.1,0.748,1.8,2.4,277,9,3.3,0.377,1.3,14.3,0.443,6.3,0.711,5.6,4,32,17.9,4,22,0.053,83,104.5,141.5,10.99,3.32,14
2929,2015,2018,1991,7/14/1991,6.1,University of Connecticut,6.1.2020,Shabazz Napier,G,175,2.3,0.363,0.8,0.481,0.396,1.9,4.9,0.801,1,1.2,231,5.7,4.8,0.375,1.8,10.1,0.411,4.2,0.813,4.4,3.6,143,13.7,3,24,0.024,75.25,93,130.5,11.6,3.2,24
1129,2014,2014,1987,5/31/1987,6.7,University of Arkansas at Little Rock,6.7.2020,Shane Edwards,F,220,0,,0,0.333,0.333,0.5,1.5,,0,0,2,1,1.5,0.298,0.5,6.9,0.472,3.2,0.642,3.2,2.1,62,9,0,27,-0.141,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2338,2014,2018,1992,10/2/1992,5.11,University of Miami,5.11.2020,Shane Larkin,G,175,1.4,0.335,0.5,0.468,0.423,2.1,5,0.777,0.8,1,254,5.5,4,0.375,1.5,8.6,0.438,3.8,0.808,2.7,2.2,68,11.2,4,22,-0.01,70.75,89.5,133.5,10.64,3.08,18
4349,2015,2016,1991,3/27/1991,6.11,Western Michigan University,6.11.2020,Shayne Whittington,F-C,250,0.3,0.125,0,0.462,0.453,0.9,2,0.76,0.7,0.9,27,2.5,0.4,0.167,0.1,7.1,0.515,3.6,0.76,3.2,2.4,114,9.8,1,24,0.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2497,2012,2018,1990,4/22/1990,6.3,Butler University,6.3.2020,Shelvin Mack,G,203,2,0.327,0.6,0.482,0.428,2.5,5.9,0.74,0.8,1,397,6.4,5.6,0.357,2,11.4,0.419,4.8,0.755,3.4,2.6,108,14.1,6,22,0.042,79.5,96.5,135.5,11.23,3.18,34
309,2015,2015,1992,12/2/1992,7.5,New Mexico State University,7.5.2020,Sim Bhullar,C,360,0,,0,0.5,0.5,0.3,0.7,,0,0,3,0.7,0,,0,6.4,0.633,4.1,0.496,4.2,2.1,65,10.2,0,23,0.389,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1781,2014,2018,1991,3/18/1991,6.7,University of Arizona,6.7.2020,Solomon Hill,F,225,2.3,0.331,0.8,0.467,0.397,2.1,5.4,0.818,1.2,1.4,259,6.2,2.2,0.375,0.8,7.3,0.481,3.5,0.745,3.3,2.5,139,10.3,4,23,0.08,81,103,140.5,10.77,3.19,23
1014,2015,2018,1993,4/6/1993,6.6,University of Colorado,6.6.2020,Spencer Dinwiddie,G,200,3.3,0.315,1,0.457,0.387,2.8,7.3,0.797,2.1,2.7,184,8.8,3.5,0.386,1.3,8,0.42,3.4,0.83,5.9,4.9,86,13,3,22,0.009,80.25,103,0,0,0,38
2054,2016,2018,1996,5/29/1996,6.7,University of Arizona,6.7.2020,Stanley Johnson,F,245,2.7,0.294,0.8,0.427,0.37,2.6,6.9,0.762,1,1.4,217,7,3.1,0.371,1.1,10.3,0.446,4.6,0.742,4.7,3.5,38,13.8,2,20,0.054,83.5,102,0,0,0,8
21,2014,2018,1993,7/20/1993,7.1,University of Pittsburgh,7.1.2000,Steven Adams,C,255,0,0,0,0.585,0.585,3.6,6.1,0.566,1.6,2.8,385,8.7,0,,0,5.5,0.571,3.1,0.443,2.2,1,32,7.2,4,21,0.114,88.5,109.5,142.5,11.85,3.4,12
2634,2016,2018,1992,3/25/1992,6.2,"Duquesne University, University of Arizona",6.2.2020,T.J. McConnell,G,200,0.9,0.328,0.3,0.499,0.475,2.8,5.9,0.765,0.6,0.7,236,6.4,2.6,0.38,1,8.1,0.49,4,0.749,1.7,1.3,139,10.2,2,24,0.053,74,96.5,128,10.84,3.3,0
4247,2015,2018,1993,9/5/1993,6.8,North Carolina State University,6.8.2020,T.J. Warren,F,230,1.3,0.283,0.4,0.516,0.5,5.8,11.6,0.754,1.7,2.3,218,13.7,2,0.315,0.6,13.6,0.555,7.5,0.654,4.3,2.8,70,18.5,3,22,0.085,82.25,104,139.5,11.1,3.26,14
334,2015,2018,1991,11/22/1991,6.9,"University of Memphis, University of Kansas",6.9.2020,Tarik Black,C-F,250,0.1,0.083,0,0.551,0.551,2,3.6,0.584,0.9,1.5,218,4.9,0,0,0,5.3,0.614,3.3,0.555,3.3,1.8,135,8.4,3,24,0.129,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1667,2012,2013,1987,8/10/1987,6.5,Oklahoma State University,6.5.2020,Terrel Harris,G,190,1.1,0.17,0.2,0.336,0.3,0.8,2.6,0.677,0.5,0.7,42,2.3,3.1,0.366,1.1,7.5,0.44,3.3,0.815,2.6,2.1,134,9.8,1,25,0.011,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2115,2013,2017,1992,1/9/1992,6.9,University of Kentucky,6.9.2020,Terrence Jones,F,252,1.3,0.299,0.4,0.525,0.501,4.2,8.5,0.622,1.6,2.6,232,10.5,1.7,0.328,0.6,10.8,0.467,5,0.638,5.3,3.4,76,14,4,21,0.128,86.25,107,141.5,11.57,3.4,18
3501,2013,2018,1991,2/5/1991,6.7,University of Washington,6.7.2020,Terrence Ross,F-G,206,4.4,0.371,1.6,0.517,0.422,3.6,8.6,0.797,0.7,0.9,410,9.6,4.6,0.364,1.7,10.1,0.453,4.6,0.764,1.8,1.4,69,12.3,5,22,0.034,79.25,100.5,138,11.78,3.28,8
3518,2016,2018,1994,3/17/1994,6.2,University of Louisville,6.2.2020,Terry Rozier,G,190,3.1,0.358,1.1,0.461,0.379,2.6,6.8,0.774,0.9,1.2,192,7.2,3.5,0.331,1.2,10.3,0.408,4.2,0.772,3.1,2.4,73,12,2,22,-0.25,80.25,98.5,136.5,10.88,3.15,16
106,2016,2016,1992,7/17/1992,6.7,,6.7.2020,Thanasis Antetokounmpo,F,205,0.5,0,0,0.75,0.75,1.5,2,,0,0,2,3,,,,,,,,,,,,0,24,#N/A,84,104.5,144,11.39,3.18,51
3462,2013,2017,1991,3/17/1991,6.1,University of Kansas,6.10.2020,Thomas Robinson,F,237,0,0,0,0.47,0.47,2,4.3,0.505,0.8,1.6,313,4.9,0.1,0.5,0.1,7.2,0.525,3.8,0.606,3.6,2.2,105,9.8,4,22,-0.01,87.25,106,141.5,11.96,3.17,5
3234,2016,2016,1989,11/2/1989,7.3,,7.3.2020,Tibor Pleiss,C,256,0.2,0,0,0.44,0.44,0.9,2.1,1,0.2,0.2,12,2,,,,,,,,,,,,0,27,0.431,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1312,2015,2018,1990,11/1/1990,6.1,Pennsylvania State University,6.1.2020,Tim Frazier,G,170,1.4,0.313,0.4,0.448,0.403,1.9,4.7,0.724,1,1.4,184,5.2,1.8,0.31,0.5,9,0.418,3.8,0.774,4.3,3.4,135,11.4,3,25,-0.071,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1630,2014,2018,1992,3/16/1992,6.6,University of Michigan,6.6.2020,Tim Hardaway,G,205,5,0.344,1.7,0.509,0.425,4.3,10.2,0.806,1.7,2.2,338,12.1,5.5,0.343,1.9,11.6,0.425,4.9,0.724,3.6,2.6,107,14.3,4,22,0.06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3048,2013,2013,1988,8/30/1988,6.11,,6.11.2020,Tim Ohlbrecht,C,255,0,,0,0.333,0.333,0.3,1,1,0.3,0.3,3,1,,,,,,,,,,,,0,25,-0.369,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1668,2012,2018,1992,7/15/1992,6.9,University of Tennessee,6.9.2020,Tobias Harris,F,235,3.2,0.356,1.1,0.515,0.467,5.5,11.9,0.811,2.4,2.9,462,14.6,2.2,0.303,0.7,11.8,0.46,5.4,0.753,5,3.8,34,15.3,6,20,0.087,83,103.5,141,10.96,3.17,19
2802,2014,2014,1992,4/7/1992,6.8,University of North Texas,6.8.2020,Tony Mitchell,F,235,0,1,0,0.458,0.417,0.2,0.6,0.579,0.5,0.9,21,1,2.6,0.34,0.9,9.6,0.49,4.7,0.702,4.9,3.5,55,13.7,0,22,0.151,86.5,106.5,144.5,11.82,3.52,37
2801,2014,2014,1989,8/7/1989,6.6,University of Alabama,6.6.2020,Tony Mitchell,F,216,0.3,0,0,0.6,0.6,1,1.7,,0,0,3,2,2.6,0.301,0.8,10.4,0.493,5.1,0.63,2.6,1.6,89,12.7,0,25,0.151,86.5,106.5,144.5,11.82,3.52,37
3811,2014,2018,1991,11/10/1991,6.7,University of New Mexico,6.7.2020,Tony Snell,G-F,200,3.1,0.38,1.2,0.529,0.42,2.3,5.5,0.811,0.5,0.6,366,6.3,4.2,0.38,1.6,7.1,0.421,3,0.821,1.9,1.6,104,9.2,4,23,0.063,83.5,105.5,142,10.36,3.25,20
4535,2013,2016,1993,4/13/1993,6.6,University of Washington,6.6.2020,Tony Wroten,G,205,2.5,0.231,0.6,0.443,0.413,4,9.6,0.647,2.6,3.9,145,11.1,1.6,0.161,0.3,12.8,0.443,5.7,0.583,7.5,4.4,35,16,3,20,0.017,81,101,136.5,10.75,3.24,25
3675,2013,2014,1991,10/5/1991,6.9,,6.9.2020,Tornike Shengelia,F,217,0.2,0.125,0,0.461,0.451,0.5,1.1,0.5,0.3,0.5,45,1.3,,,,,,,,,,,,1,22,-0.017,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2908,2014,2015,1989,11/8/1989,6.5,Wichita State University,6.5.2020,Toure' Murry,G-F,195,0.2,0.417,0.1,0.451,0.433,1,2.4,0.61,0.4,0.7,56,2.6,3.1,0.311,1,9.2,0.405,3.7,0.763,3.5,2.6,139,11.1,1,25,0.002,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2395,2012,2012,1990,3/29/1990,6.4,University of Georgia,6.4.2020,Travis Leslie,G,205,0,,0,0.357,0.357,0.5,1.4,0.444,0.4,0.9,10,1.4,0.6,0.333,0.2,9.6,0.482,4.6,0.743,3.7,2.7,90,12.2,0,22,0.06,82.5,103,143.5,11,3.13,47
4274,2015,2018,1990,9/21/1990,6.1,"University of North Carolina, University of California, Los Angeles",6.10.2020,Travis Wear,F,230,1.1,0.37,0.4,0.441,0.392,1.6,4.1,0.824,0.4,0.5,66,4.1,0.4,0.4,0.2,6.6,0.504,3.3,0.798,1.8,1.4,128,8.2,3,25,-0.02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
554,2014,2018,1992,11/12/1992,6.1,University of Michigan,6.1.2020,Trey Burke,G,191,3.8,0.339,1.3,0.465,0.403,4.2,10.5,0.791,1.1,1.4,301,10.8,5,0.367,1.8,13.3,0.45,6,0.777,4,3.1,73,16.9,4,22,0.02,77.5,97.5,134,11.2,3.16,9
2482,2016,2018,1995,11/5/1995,6.1,University of Kentucky,6.10.2020,Trey Lyles,F,234,2.5,0.358,0.9,0.504,0.435,2.8,6.4,0.703,1,1.4,223,7.4,0.8,0.138,0.1,6.7,0.488,3.3,0.735,2.8,2.1,36,8.7,2,21,-0.107,85.5,108,0,0,0,12
4016,2012,2012,1990,5/20/1990,6.1,University of Georgia,6.10.2020,Trey Thompkins,F,245,0.5,0.308,0.2,0.426,0.393,1,2.5,0.714,0.2,0.3,24,2.4,2.5,0.357,0.9,12.8,0.469,6,0.729,3.8,2.8,89,15.7,0,22,0.004,85,107.5,138,11.72,3.41,37
4035,2012,2018,1991,3/13/1991,6.9,University of Texas at Austin,6.9.2020,Tristan Thompson,F-C,238,0,0,0,0.518,0.518,3.6,6.9,0.608,1.9,3.1,517,9,0,,0,8.8,0.546,4.8,0.487,7.3,3.5,36,13.1,6,21,0.038,85.25,108.5,143.5,10.92,3.26,4
885,2014,2018,1991,7/15/1991,6.4,Virginia Commonwealth University,6.4.2020,Troy Daniels,G,205,4.5,0.404,1.8,0.55,0.401,2.4,6,0.821,0.5,0.6,241,7.1,5.2,0.386,2,6.1,0.389,2.4,0.782,0.7,0.5,125,7.3,4,23,0.15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1173,2015,2018,1994,8/24/1994,6.3,Syracuse University,6.3.2020,Tyler Ennis,G,194,1.1,0.32,0.4,0.463,0.418,1.7,4.1,0.763,0.4,0.5,184,4.1,2.5,0.353,0.9,10.6,0.411,4.4,0.765,4.4,3.4,34,12.9,3,21,-0.046,79.25,98,134,11.12,3.3,18
1823,2012,2013,1990,7/15/1990,6.8,"University of California, Los Angeles",6.8.2020,Tyler Honeycutt,F,188,0.2,0.2,0,0.329,0.314,0.5,1.5,0.714,0.2,0.3,24,1.2,3.1,0.359,1.1,8.4,0.431,3.6,0.684,2.9,2,59,10.3,1,22,0.013,81,105,142,11.68,3.07,35
2059,2015,2018,1992,5/7/1992,6.4,"California State University, Fresno",6.4.2020,Tyler Johnson,G,186,3.2,0.371,1.2,0.505,0.439,4,9.1,0.776,1.8,2.3,211,11,2.5,0.372,0.9,8.4,0.456,3.8,0.716,2.7,1.9,128,10.5,3,23,0.06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4563,2013,2018,1990,1/17/1990,7.1,University of North Carolina,7.1.2000,Tyler Zeller,F-C,253,0.1,0.294,0,0.51,0.508,2.8,5.6,0.763,1.3,1.7,404,7,0,0,0,8.6,0.543,4.7,0.775,4.5,3.5,117,12.8,5,23,0.048,84,104.5,138.5,11.13,3.4,17
3970,2013,2014,1990,4/12/1990,6.3,University of Kansas,6.3.2020,Tyshawn Taylor,G,185,0.4,0.36,0.1,0.379,0.354,1,2.9,0.684,0.6,0.9,61,2.9,2.2,0.37,0.8,7.9,0.477,3.8,0.708,3.5,2.5,146,10.8,1,23,-0.077,78.25,97.5,134,11.48,3.2,41
