,active_from,active_to,birth_year,birth_date,Height_in_feet,college,height,player_name,position,weight,NBA__3ptapg,NBA__3ptpct,NBA__3ptpg,NBA_efgpct,NBA_fg%,NBA_fg_per_game,NBA_fga_per_game,NBA_ft%,NBA_ft_per_g,NBA_fta_p_g,NBA_g_played,NBA_ppg,NCAA__3ptapg,NCAA__3ptpct,NCAA__3ptpg,NCAA_fgapg,NCAA_fgpct,NCAA_fgpg,NCAA_ft,NCAA_ftapg,NCAA_ftpg,NCAA_games,NCAA_ppg,Years_played,Draft_age,WinShare/48,WingSpan,Standing_vert,Max_vertical,Agility,Sprint,Draft_Pick
54,2012,2017,1989,2/4/1989,6.9,Temple University,6.9.2020,Lavoy Allen,F-C,260,0,0.133,0,0.472,0.471,2.1,4.5,0.682,0.5,0.7,388,4.8,0.5,0.288,0.1,8.2,0.534,4.4,0.671,2.4,1.6,135,10.5,5,23,0.124,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
505,2014,2018,1990,8/26/1990,6.5,North Carolina State University,6.5.2020,Lorenzo Brown,G,189,1,0.149,0.1,0.39,0.368,1.3,3.4,0.684,0.3,0.5,76,3,2.1,0.305,0.6,9.5,0.429,4.1,0.741,3.8,2.8,101,11.6,4,24,-0.068,79,100,134,11.78,3.4,52
2989,2015,2018,1992,7/26/1992,7.1,,7.1.2000,Lucas Nogueira,C,241,0.2,0.265,0.1,0.648,0.632,1.3,2,0.64,0.5,0.8,141,3.2,,,,,,,,,,,,3,23,-0.071,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
895,2014,2015,1987,11/27/1987,6.8,,6.8.2020,Luigi Datome,F,215,1.4,0.316,0.5,0.481,0.414,1.4,3.4,0.818,0.2,0.2,55,3.4,,,,,,,,,,,,1,27,-0.023,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2823,2016,2018,1993,4/6/1993,6.7,Westchester CC,6.7.2020,Luis Montero,G,185,0.6,0.111,0.1,0.275,0.25,0.4,1.4,0.75,0.2,0.3,14,1,,,,,,,,,,,,2,23,-0.036,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4562,2013,2013,1987,4/7/1987,6.11,University of Notre Dame,6.11.2020,Luke Zeller,C,245,0.3,0.2,0.1,0.365,0.346,0.6,1.6,,0,0,16,1.2,2.3,0.36,0.8,3.7,0.417,1.5,0.574,0.5,0.3,128,4.2,0,26,-0.047,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4272,2013,2014,1991,5/2/1991,6.2,Villanova University,6.2.2020,Maalik Wayns,G,200,1.1,0.226,0.2,0.339,0.3,0.9,3.1,0.895,0.6,0.7,29,2.7,3.4,0.291,1,9.7,0.412,4,0.848,4.2,3.6,95,12.5,1,22,-0.147,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2378,2012,2015,1990,5/22/1990,6.5,"University of California, Los Angeles",6.5.2020,Malcolm Lee,G,200,0.9,0.294,0.3,0.419,0.382,1.4,3.8,0.703,0.7,1,36,3.9,2.7,0.278,0.8,7.5,0.441,3.3,0.717,3.2,2.3,94,9.7,3,22,0.024,81.75,101.5,137,11.2,3.09,43
4010,2012,2015,1988,11/8/1988,6.9,"Pepperdine University, San Diego State University",6.9.2020,Malcolm Thomas,F,225,0.3,0.091,0,0.442,0.435,0.8,1.7,0.6,0.4,0.6,40,1.9,0.2,0.235,0,8.2,0.53,4.3,0.58,5,2.9,103,11.6,3,24,-0.028,84.5,107.5,144,11.31,3.29,0
1863,2016,2017,1983,5/25/1983,6.3,,6.3.2020,Marcelo Huertas,G,200,1.1,0.25,0.3,0.443,0.409,1.6,3.9,0.783,0.5,0.6,76,3.9,,,,,,,,,,,,1,33,-0.042,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2851,2012,2018,1989,9/2/1989,6.9,University of Kansas,6.9.2020,Marcus Morris,F,235,3.6,0.358,1.3,0.496,0.428,4.2,9.7,0.73,1.6,2.1,469,11.2,1.1,0.358,0.4,8.4,0.555,4.7,0.66,4.3,2.9,109,12.6,6,23,-0.083,82,105.5,138.5,0,3.15,14
3746,2015,2018,1994,3/6/1994,6.4,Oklahoma State University,6.4.2020,Marcus Smart,G,220,4.2,0.293,1.2,0.431,0.36,3.1,8.7,0.756,2,2.6,261,9.4,4.6,0.295,1.4,11.9,0.413,4.9,0.751,7.3,5.5,64,16.6,3,21,0.077,81.25,99,135,10.82,3.26,6
1757,2016,2018,1995,2/25/1995,6.8,,6.8.2020,Mario Hezonja,F-G,215,2.7,0.333,0.9,0.492,0.419,2.6,6.2,0.835,0.8,0.9,217,6.9,,,,,,,,,,,,2,21,-0.087,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
